Designator,Mid X,Mid Y,Layer,Rotation
C1,130.800000mm,-90.362500mm,Top,90
C3,128.800000mm,-90.362500mm,Top,90
C4,138.620500mm,-116.634500mm,Top,270
C5,127.000000mm,-90.412500mm,Top,90
C6,132.800000mm,-90.362500mm,Top,90
C8,111.250000mm,-112.450000mm,Top,180
C9,111.250000mm,-107.150000mm,Top,0
C10,127.379400mm,-122.016100mm,Top,90
C11,104.287500mm,-105.128000mm,Top,180
C12,104.287500mm,-103.600000mm,Top,180
D1,129.032000mm,-113.570000mm,Top,90
G***,110.000000mm,-98.450000mm,Top,0
J1,145.550000mm,-99.750000mm,Top,90
L1,122.911000mm,-115.570000mm,Top,180
LED1,114.840000mm,-119.702500mm,Top,90
LED2,110.550000mm,-119.672500mm,Top,90
LED3,112.690000mm,-119.672500mm,Top,90
LED_3V31,129.237500mm,-103.886000mm,Top,0
LED_5V1,141.917400mm,-107.524300mm,Top,270
LED_RX1,118.182700mm,-96.325600mm,Top,0
LED_TX1,118.207700mm,-93.925600mm,Top,0
R1,137.694800mm,-100.545400mm,Top,90
R2,137.694800mm,-102.530400mm,Top,90
R3,120.050000mm,-99.800000mm,Top,0
R4,120.037500mm,-101.850000mm,Top,0
R5,121.707700mm,-93.925600mm,Top,180
R6,121.682700mm,-96.325600mm,Top,180
R7,114.840000mm,-123.177500mm,Top,270
R8,129.261400mm,-122.549600mm,Top,0
R9,129.261400mm,-121.406600mm,Top,180
R10,128.139000mm,-119.933400mm,Top,180
R11,110.550000mm,-123.147500mm,Top,270
R12,108.800000mm,-108.515000mm,Top,90
R13,112.690000mm,-123.147500mm,Top,270
R14,106.187500mm,-113.900000mm,Top,180
R15,102.800000mm,-113.900000mm,Top,0
R16,129.263700mm,-105.917400mm,Top,0
R17,144.017400mm,-107.524300mm,Top,270
U1,134.874000mm,-118.364000mm,Top,270
U2,104.237500mm,-109.375000mm,Top,180
U3,129.825000mm,-96.900000mm,Top,90
U4,137.667820mm,-96.857860mm,Top,180
Y1,111.250000mm,-109.800000mm,Top,90
