Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",130.800000,-90.362500,90.000000,top
"C3","100n","C_0805_2012Metric",128.800000,-90.362500,90.000000,top
"C4","100n","C_0805_2012Metric",138.620500,-116.634500,270.000000,top
"C5","4.7u","C_0603_1608Metric",127.000000,-90.412500,90.000000,top
"C6","100n","C_0805_2012Metric",132.800000,-90.362500,90.000000,top
"C8","12p","C_0402_1005Metric",111.250000,-112.450000,180.000000,top
"C9","12p","C_0402_1005Metric",111.250000,-107.150000,0.000000,top
"C10","20n","C_0603_1608Metric",127.379400,-122.016100,90.000000,top
"C11","1u","C_0603_1608Metric",104.287500,-105.128000,180.000000,top
"C12","10n","C_0603_1608Metric",104.287500,-103.600000,180.000000,top
"D1","SS54","D_SMA",129.032000,-113.570000,90.000000,top
"G***","LOGO","soup",110.000000,-98.450000,0.000000,top
"J1","USB_B_Micro","USB_Micro-AB_Molex_47590-0001",145.550000,-99.750000,90.000000,top
"L1","22u","L_7.3x7.3_H4.5",122.911000,-115.570000,180.000000,top
"LED1","RED","LED_0805_2012Metric",114.840000,-119.702500,90.000000,top
"LED2","RED","LED_0805_2012Metric",110.550000,-119.672500,90.000000,top
"LED3","RED","LED_0805_2012Metric",112.690000,-119.672500,90.000000,top
"LED_3V31","RED","LED_0805_2012Metric",129.237500,-103.886000,0.000000,top
"LED_5V1","RED","LED_0805_2012Metric",141.917400,-107.524300,270.000000,top
"LED_RX1","RED","LED_0805_2012Metric",118.182700,-96.325600,0.000000,top
"LED_TX1","RED","LED_0805_2012Metric",118.207700,-93.925600,0.000000,top
"R1","4k7","R_0402_1005Metric",137.694800,-100.545400,90.000000,top
"R2","10k","R_0402_1005Metric",137.694800,-102.530400,90.000000,top
"R3","0R","R_0805_2012Metric",120.050000,-99.800000,0.000000,top
"R4","0R","R_0805_2012Metric",120.037500,-101.850000,0.000000,top
"R5","1k2","R_0805_2012Metric",121.707700,-93.925600,180.000000,top
"R6","1k2","R_0805_2012Metric",121.682700,-96.325600,180.000000,top
"R7","1k2","R_0805_2012Metric",114.840000,-123.177500,270.000000,top
"R8","1k","R_0402_1005Metric",129.261400,-122.549600,0.000000,top
"R9","680R","R_0402_1005Metric",129.261400,-121.406600,180.000000,top
"R10","1k","R_0402_1005Metric",128.139000,-119.933400,180.000000,top
"R11","1k2","R_0805_2012Metric",110.550000,-123.147500,270.000000,top
"R12","47","R_0402_1005Metric",108.800000,-108.515000,90.000000,top
"R13","1k2","R_0805_2012Metric",112.690000,-123.147500,270.000000,top
"R14","2k2","R_0603_1608Metric",106.187500,-113.900000,180.000000,top
"R15","2k2","R_0603_1608Metric",102.800000,-113.900000,0.000000,top
"R16","1k2","R_0805_2012Metric",129.263700,-105.917400,0.000000,top
"R17","3k","R_0805_2012Metric",144.017400,-107.524300,270.000000,top
"U1","XL1509","HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm",134.874000,-118.364000,270.000000,top
"U2","STM8L051F3P6","TSSOP-20_4.4x6.5mm_P0.65mm",104.237500,-109.375000,180.000000,top
"U3","FT232RL","SSOP-28_5.3x10.2mm_P0.65mm",129.825000,-96.900000,90.000000,top
"U4","USBLC6-2SC6","SOT-23-6",137.667820,-96.857860,180.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",111.250000,-109.800000,90.000000,top
